id,nom,ville,quartier,telephone,bp,horaires,services,proprietaire,type_etablissement,fax
LBV001,Grande Pharmacie des Forestiers,Libreville,Galerie de Mbolo,011 72 23 52,2,"Lun-Sam: 8h-19h30, Dim: 8h-18h","Parapharmacie, Conseil pharmaceutique",,Pharmacie générale,
LBV002,La Nouvelle Pharmacie d'Awondo,Libreville,"Louis, Avenue Jean-Jacques Boucavel",011 44 57 07 / 066 15 80 00,23537,24h/24 - 7j/7,"Ordonnances, Conseil, Parapharmacie, Espace bébé, Matériel médical",Dr Yoba Bernadette,Pharmacie générale 24h/24,
LBV003,Pharmacie Avolenzame,Libreville,"Nkembo, Route Atong Abè",065 29 10 02,1685,7j/7: 7h-20h,Service courant,Dr Ntogone Patience,Pharmacie générale,077 45 24 67
LBV004,Pharmacie d'Akébé,Libreville,"Akébé Ville, Rond-point de l'église",011 72 01 38,14349,Horaires standards,Service courant,Akani Monique,Pharmacie générale,
LBV005,Grande Pharmacie Pauline,Libreville,Alenakiri,,,Horaires standards,Service courant,Corinne Nseng Nseng Ndong,Pharmacie générale,
LBV006,Pharmacie d'Avorbam,Libreville,Rond-point d'Avorbam,065 50 54 54,12844,24h/24 - 7j/7,Service complet,Julie Prescilla Ada Mve,Pharmacie de garde 24h/24,065 55 63 93
LBV007,Pharmacie de Bikélé,Libreville,"Bikélé, Près Prix Import",,6091,24h/24 - 7j/7,Service complet,,Pharmacie de garde 24h/24,
LBV008,Pharmacie de la Grâce,Libreville,"Angondjé, Parcelle N°26",062 94 94 24,,24h/24 - 7j/7,Service complet,Mbadinga Mbadinga Carine,Pharmacie de garde 24h/24,
LBV009,Pharmacie Le Bon Samaritain,Libreville,"Angondjé, Carrefour Sherko",065 19 03 40,,24h/24 - 7j/7,Service complet,,Pharmacie de garde 24h/24,
LBV010,Pharmacie de l'Orchidée,Libreville,Louis (Montée),011 73 24 19 / 062 64 54 70,,24h/24 - 7j/7,Service complet,,Pharmacie de garde 24h/24,
LBV011,Pharmacie de Sibang-Montalier,Libreville,"Bambouchine, Rue Philibert M'Bembo Pangou",011 71 15 16 / 062 76 84 50 / 065 20 68 44 / 062 07 20 28,2906,24h/24 - 7j/7,Service complet,,Pharmacie de garde 24h/24,
LBV012,Pharmacie des Acaé,Libreville,Carrefour ACAÉ,011 70 49 49,,24h/24 - 7j/7,Service complet,,Pharmacie de garde 24h/24,
LBV013,Pharmacie Les Marguerites,Libreville,Awendjé,011 77 14 02 / 066 43 47 01,,24h/24 - 7j/7,Service complet,,Pharmacie de garde 24h/24,
LBV014,Pharmacie Mukemussailay,Libreville,Nzeng-Ayong (Dragages),065 19 03 26,,24h/24 - 7j/7,Service complet,,Pharmacie de garde 24h/24,
LBV015,Pharmacie Nouo Cécile,Libreville,IAI,066 28 35 22,,24h/24 - 7j/7,Service complet,,Pharmacie de garde 24h/24,
LBV016,Pharmacie Nzeng-Ayong,Libreville,Immeuble les Rosiers,011 71 06 16 / 065 19 03 26,6087,24h/24 - 7j/7,Service complet,,Pharmacie de garde 24h/24,
LBV017,Pharmacie Ondogo,Libreville,"Ondogo, Après cité de la GR",065 51 68 58,,24h/24 - 7j/7,Service complet,,Pharmacie de garde 24h/24,
LBV018,Pharmacie Rapha-Ël,Libreville,"Rond-point PK12, Immeuble City Star",011 46 45 54 / 074 42 02 48,,24h/24 - 7j/7,Service complet,,Pharmacie de garde 24h/24,
LBV019,Pharmacie Centrale de Garde,Libreville,"Centre-ville, Face Agatour/Commissariat Central",066 15 87 44 / 077 07 01 99,,"7j/7: 19h-8h, 24h/24: dim & jours fériés",Service d'urgence,,Pharmacie de garde principal,01 76 34 70
LBV020,Pharmacie de Garde Beau Séjour,Libreville,"Beau Séjour (GIE), Centre social Beauséjour",065 19 03 36,,24h/24 - 7j/7,Service d'urgence,,Pharmacie de garde 24h/24,
LBV021,Pharmacie de Garde de Nzeng-Ayong,Libreville,Nzeng Ayong,066 73 45 41 / 011 71 23 67,,24h/24 - 7j/7,Service d'urgence,,Pharmacie de garde 24h/24,
LBV022,Pharmacie de Garde du PK6,Libreville,"PK6, Immeuble Beyrouth",066 50 41 16 / 011 77 21 52,488,24h/24 - 7j/7,Service d'urgence,,Pharmacie de garde 24h/24,
LBV023,Pharmacie de l'Aéroport,Libreville,Aéroport,077 77 77 77 / 065 50 63 99,5453,7j/7: 8h-21h,Service courant,Glen-Chancy Ella Mebiame,Pharmacie générale,
LBV024,Pharmacie de l'Express J.J et M.,Libreville,"Charbonnages, Station PetroGabon",011 73 41 41,,7j/7,Service courant,Doe Fausther Graciella Maddly,Pharmacie générale,
LBV025,Pharmacie des Facultés,Libreville,"Ancienne Sobraga, Ambassade Cameroun",011 44 37 38,,7h30-21h30 (20h sam),Service courant,,Pharmacie générale,
LBV026,Pharmacie des Gué-Gué,Libreville,Rond-point Gué-Gué,011 44 41 36 / 065 19 03 40,,Horaires standards,Service courant,,Pharmacie générale,
LBV027,Pharmacie des Hirondelles,Libreville,Alibandeng,,,7j/7,Service courant,,Pharmacie générale,
LBV028,Pharmacie de la Kiyine,Libreville,Trois-Quartiers,011 44 60 42 / 060 40 60 37,,7j/7,Service courant,,Pharmacie générale,
LBV029,Pharmacie de Plaine Niger,Libreville,Carrefour Boulingui,011 74 06 06,,"7j/7: Lun-Sam 8h-21h, Dim 8h-20h",Service courant,,Pharmacie générale,
LBV030,Pharmacie d'Oloumi,Libreville,Z.I. Oloumi,011 72 15 82,4060/4039,7j/7: 7h30-20h30 (8h-20h30 fériés),Service courant,Hadad Keba Walid,Pharmacie générale,011 72 15 86
LBV031,Pharmacie Sainte-Marie,Libreville,Boulevard Triomphal (face Mbolo),011 74 00 52,1838,"Lun-Sam: 7h30-21h, Dim: 8h-20h",Service courant,,Pharmacie générale,
LBV032,Pharmacie Iboga de Glass,Libreville,"Glass, Avenue G. Damas",011 77 23 99 / 011 74 87 98,2226,7h30-21h (20h sam),Service courant,Gassita Laurence Victorine,Pharmacie générale,
LBV033,Pharmacie Jeanne et Léo,Libreville,Owendo (Carrefour SNI),011 70 47 60,15592,"7j/7: Lun-Sam 7h30-20h30, Dim 8h-18h",Service courant,,Pharmacie générale,
LBV034,Pharmacie La Librevilloise,Libreville,Centre-ville,,,7h30-21h30 - 7j/7,Service courant,,Pharmacie générale,
LBV035,Pharmacie Marie-Jeanne,Libreville,Nombakélé,011 77 58 09,16024,8h-21h non-stop (7j/7),Service courant,,Pharmacie générale,
LBV036,Pharmacie du Commissariat Central,Libreville,Centre-ville,074 64 22,6087,8h-21h45 - 7j/7,Service courant,Itou-Y-Maganga/Ziza Sandrine M,Pharmacie générale,076 51 43
LBV037,Pharmacie Gabonaise,Libreville,Entre 9 étages et Cinéma Komo,011 74 30 71,,Horaires standards,Service courant,,Pharmacie générale,
LBV038,Pharmacie Le Président,Libreville,Immeuble Le Président,011 74 12 48,,8h-19h,Service courant,Okome Essono Cynthia,Pharmacie générale,
LBV039,Pharmacie Royal,Libreville,Oloumi (Galerie Royal Plaza/Xanadou),011 76 91 06,10880,7j/7: 7h30-19h30 (Dim 9h-15h),Service courant,,Pharmacie générale,
LBV040,Pharmacie Saint Antoine,Libreville,"Carrefour SNI, Après Prix Import",011 70 74 60,1063,7j/7,Service courant,,Pharmacie générale,
LBV041,Pharmacie Emmanuel,Libreville,Awendjé,065 65 65 31,,Horaires standards,Service courant,,Pharmacie générale,
LBV042,Pharmacie Saint André,Libreville,Dispensaire d'Okala,066 25 56 67,,Horaires standards,Service courant,,Pharmacie générale,
LBV043,Pharmacie de la Gare Routière,Libreville,Galerie Gare Routière,,16249,Horaires standards,Service courant,,Pharmacie générale,
LBV044,Pharmacie de la Poste,Libreville,Galerie Hollando (Bord de Mer),011 72 83 30,,Horaires standards,Service courant,,Pharmacie générale,
LBV045,Pharmacie de St Joseph de Lalala,Libreville,Lalala,,379,8h-20h (fermée dimanche),Service courant,,Pharmacie générale,
LBV046,Pharmacie des Jardins de la Peyrie,Libreville,La Peyrie,011 72 33 33,,Horaires standards,Service courant,,Pharmacie générale,
LBV047,Pharmacie du Rond-Point la Plaine,Libreville,La Plaine,066 04 41 21 / 011 74 70 50,503,Horaires standards,Service courant,Okowa Aline,Pharmacie générale,
LBV048,Pharmacie du Lycée Technique,Libreville,"Owendo, Avant Lycée Technique",077 05 01 90,19193,Horaires standards,Service courant,,Pharmacie générale,
LBV049,Pharmacie Nouvelle Owendo,Libreville,Owendo,011 70 27 80,,Horaires standards,Service courant,,Pharmacie générale,
LBV050,Pharmacie Razel,Libreville,Owendo Business Center,065 19 02 97,,Horaires standards,Service courant,,Pharmacie générale,
LBV051,Grande Pharmacie l'Acacia,Libreville,PK5,066 41 41 86 / 029 42 85 3,2682,Horaires standards,Service courant,Nzongou Casimir Raoul,Pharmacie générale,
LBV052,Pharmacie Nibigholet,Libreville,PK8,065 19 03 17,,Horaires standards,Service courant,,Pharmacie générale,
LBV053,Pharmacie Le Maïs,Libreville,PK9,065 09 00 49,,Horaires standards,Service courant,,Pharmacie générale,
LBV054,Pharmacie Dissang Dietou,Libreville,Melen PK11,011 46 45 54,,Horaires standards,Service courant,,Pharmacie générale,
LBV055,Pharmacie Elbous,Libreville,Libreville (divers),069 26 083,,Horaires standards,Service courant,,Pharmacie générale,
LBV056,Pharmacie du Golf,Libreville,Libreville (divers),077 75 380,,Horaires standards,Service courant,,Pharmacie générale,
LBV057,Pharmacie du Lys,Libreville,Libreville (divers),065 34 61 52,,Horaires standards,Service courant,,Pharmacie générale,
LBV058,Pharmacie du PK12,Libreville,Libreville (divers),023 13 797,12267,Horaires standards,Service courant,,Pharmacie générale,
LBV059,Pharmacie du PK8,Libreville,Libreville (divers),032 85 44,,Horaires standards,Service courant,,Pharmacie générale,
LBV060,Pharmacie GIE Beau Séjour,Libreville,GIE,074 37 60 37,,Horaires standards,Service courant,,Pharmacie générale,
LBV061,Pharmacie GIE PK6,Libreville,GIE PK6,067 56 112,,Horaires standards,Service courant,,Pharmacie générale,
LBV062,Pharmacie Hélène,Libreville,Owendo,066 56 20 96,,Horaires standards,Service courant,,Pharmacie générale,
LBV063,Pharmacie d'Akournam II,Libreville,Owendo (Akournam),070 56 89,,Horaires standards,Service courant,Eloumi Ropivia Jacqueline,Pharmacie générale,070 56 89
LBV064,Pharmacie d'Awendjé,Libreville,Awendjé,076 59 73 / 060 03 26 51,9669,Horaires standards,Service courant,Mengue Bengone Bernadette,Pharmacie générale,
LBV065,Pharmacie d'Okala Village,Libreville,Dispensaire d'Okala,045 55 06,6038,Horaires standards,Service courant,Ditsambo Vincent,Pharmacie générale,
LBV066,Pharmacie d'Agondije,Libreville,Angondjé,032 46 67 / 028 45 91,,Horaires standards,Service courant,Moussonda Georges,Pharmacie générale,
LBV067,Pharmacie Coeur de Jesus,Libreville,Angondjé,065 19 03 02,,Horaires standards,Service courant,Poaty Annie Josette,Pharmacie générale,
LBV068,Pharmacie Blanche et Elise,Libreville,Nialy,062 05 51 50,13977,Horaires standards,Service courant,Alaric Farel Ekowa Ndoumou,Pharmacie générale,
LBV069,Pharmacie Carrefour JJ,Libreville,Libreville,011 45 03 73 / 070 70 166,,Horaires standards,Service courant,Doe Fausther Graciella Maddly,Pharmacie générale,
